"Inflation rate, average consumer prices (Annual percent change)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"5,1","35,7","16,4","10,6","6,8","8,7","26,4","-6,8","2,2","11,8","6,4","7,4","4,7","-0,7","4,4",5,"0,6","2,3","5,6","7,8","10,6",no data,no data,no data,no data,no data,no data,no data
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"-0,2","35,7",226,85,"22,6","7,8","12,7","33,2","20,6","0,4",0,"3,1","5,2","2,4","2,9","2,4","2,4",3,"3,3","2,2","3,6","3,4",2,"1,9","1,6","1,9","1,3",2,2,"1,4","1,6",2,"6,7","4,8","3,5",3,3,3,3,3
Algeria,"9,7","14,6","6,6","7,8","6,3","10,4",14,"5,9","5,9","9,2","9,3","25,9","31,7","20,5",29,"29,8","18,7","5,7",5,"2,6","0,3","4,2","1,4","4,3",4,"1,4","2,3","3,7","4,9","5,7","3,9","4,5","8,9","3,3","2,9","4,8","6,4","5,6","4,3",2,"2,4","7,2","9,3","9,3","7,6","6,4","6,1","5,5","5,2",5
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"3,1","3,1","2,9","3,5","3,7","2,7","4,3","-1,2","1,7","2,6","1,5","0,5","-0,1","-1,1","-0,4","2,6",1,"0,5","0,1","1,7","6,2","5,6","4,3","2,4","2,1","1,7","1,7","1,7"
Angola,"46,7","1,4","1,8","1,8","1,8","1,8","1,8","1,8","1,8","1,8","1,8","85,3","299,1","1379,5","949,8","2672,2",4146,"221,5","107,4","248,2",325,"152,6","108,9","98,2","43,5",23,"13,3","12,2","12,5","13,7","14,5","13,5","10,3","8,8","7,3","9,2","30,7","29,8","19,6","17,1","22,3","25,8","21,4","13,6",22,"12,8","8,5","7,4","7,4","7,4"
Antigua and Barbuda,19,"11,5","4,2","2,3","3,8",1,"0,5","3,6","6,8","4,4","6,6","4,5",3,"3,1","6,5","2,7",3,"0,4","3,3","1,1","-0,2","1,9","2,4",2,2,"2,1","1,8","1,4","5,3","-0,6","3,4","3,5","3,4","1,1","1,1",1,"-0,5","2,4","1,2","1,4","1,1","1,6","7,5","5,1","2,6",2,2,2,2,2
Argentina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"0,9","-1,2","-0,9","-1,1","25,9","13,4","4,4","9,6","10,9","8,8","8,6","6,3","10,5","9,8",10,"10,6",no data,no data,no data,"25,7","34,3","53,5",42,"48,4","72,4","133,5","249,8","59,6","31,8","17,5","10,4","8,9"
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"3731,8","5273,4","176,7","18,7",14,"8,7","0,7","-0,8","3,2",1,"4,7","6,9","0,6","2,9","4,4","9,1","3,5","8,2","7,5","2,5","5,7",3,"3,7","-1,4","1,2","2,5","1,4","1,2","7,2","8,6",2,"3,1","3,7",4,4,4,4
Aruba,no data,no data,no data,no data,no data,no data,no data,"3,6","3,1",4,"5,8","5,6","3,9","5,2","6,3","3,4","3,2",3,"1,9","2,3","4,1","2,9","3,3","3,7","2,5","3,4","3,6","5,4",9,"-2,1","2,1","4,4","0,6","-2,4","0,4","0,5","-0,9",-1,"3,6","3,9","-1,3","0,7","5,5","3,4","2,3","1,8","1,9",2,2,2
Australia,"10,1","9,5","11,4",10,4,"6,7","9,1","8,5","7,3","7,6","7,2","3,3",1,"1,8","1,9","4,6","2,7","0,2","0,9","1,4","4,5","4,4",3,"2,7","2,3","2,7","3,6","2,4","4,3","1,8","2,9","3,4","1,7","2,5","2,5","1,5","1,3",2,"1,9","1,6","0,9","2,8","6,6","5,6","3,5",3,"2,7","2,7","2,6","2,5"
Austria,"6,3","6,8","5,4","3,3","5,7","3,2","1,7","1,4","1,9","2,2","2,8","3,1","3,4","3,2","2,7","1,6","1,8","1,2","0,8","0,5",2,"2,3","1,7","1,3",2,"2,1","1,7","2,2","3,2","0,4","1,7","3,5","2,6","2,1","1,5","0,8",1,"2,2","2,1","1,5","1,4","2,8","8,6","7,7","3,9","2,8","2,3",2,"2,1","2,1"
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"1129,7",1664,"411,8","19,8","3,7","-0,8","-8,5","1,8","1,8","2,8","2,1","6,7","9,6","8,3","16,7","20,8","1,5","5,7","7,9","1,1","2,4","1,4",4,"12,4","12,9","2,3","2,6","2,8","6,7","13,9","8,2","3,5",5,"4,5",4,4,4
"Bahamas, The","12,2",11,"6,1",4,4,"4,6","5,4",6,"4,1","5,4","4,6","7,3","5,6","2,7","1,4",2,"1,3","0,6","1,2","1,1","1,7","2,4","1,5","3,7","1,2","1,8",2,"2,4","4,4","1,7","1,6","3,1","1,9","0,4","1,2","1,9","-0,3","1,5","2,3","2,5",0,"2,9","5,6","3,1",2,"2,2",2,"1,9","1,9",2
Bahrain,"3,8","11,4","8,7","3,2",0,"-2,4","-2,5","-1,7","0,2","1,2","1,3","0,9","-0,3","2,6",4,"3,1","-0,2","4,6","-0,4","-1,3","-0,7","-1,2","-0,5","1,7","2,2","2,6",2,"3,3","3,5","2,8",2,"-0,3","2,8","3,3","2,6","1,8","2,8","1,4","2,1",1,"-2,3","-0,6","3,6","0,1","1,4","1,8","2,1","2,1","2,1","2,1"
Bangladesh,"7,7","14,9","13,7","11,1",10,"10,4","10,3","10,5","10,2","9,2","9,7","9,3","5,9","3,3","4,6","8,9","6,8","2,7","6,7","8,9","3,6","1,8","2,4","3,9","8,1","6,5","7,2","7,2","9,9","6,7","7,3","8,8","8,9","6,8","7,3","6,4","5,9","5,4","5,8","5,5","5,6","5,6","6,1",9,"9,3","6,1","5,7","5,5","5,5","5,5"
Barbados,"18,5","14,6","10,3","5,3","4,6","4,9","0,2","3,6","4,7","6,3",3,"6,3",6,"1,2","0,7","2,8","2,4","7,7","-1,3","1,6","0,9","4,2","0,3","1,2","0,8","4,7","7,5","4,8","6,5","5,6","5,2","7,6","7,1","2,2","1,6","0,3","-0,3","3,5","5,2","1,6","0,5","1,5",5,5,"3,9","2,8","2,4","2,4","2,4","2,4"
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"83,5","970,3","1190,3","2220,9","709,3","52,7","63,8",73,"293,7","168,6","61,1","42,6","28,4","18,1","10,3",7,"8,4","14,8",13,"7,7","53,2","59,2","18,3","18,1","13,5","11,8",6,"4,9","5,6","5,5","9,5","15,2",5,"6,3","6,5","5,9","5,5","5,2",5
Belgium,"6,7","7,6","8,7","7,7","6,3","4,9","1,3","1,6","1,2","3,1","3,5","3,2","2,3","2,5","2,4","1,3","1,8","1,5","0,9","1,1","2,7","2,4","1,6","1,5","1,9","2,5","2,3","1,8","4,5",0,"2,3","3,3","2,6","1,3","0,5","0,6","1,8","2,2","2,3","1,2","0,4","3,2","10,3","2,3","3,6",2,"1,9","1,9",2,2
Belize,"7,1","11,2","6,8",5,"3,4","4,2","0,8",2,"5,3",0,2,"2,3","2,4","1,5","2,6","2,9","6,4",1,"-0,8","-1,2","0,6","1,1","2,2","2,6","3,1","3,7","4,2","2,3","6,4","-1,1","0,9","1,7","1,2","0,5","1,2","-0,9","0,7","1,1","0,3","0,2","0,1","3,2","6,3","4,4","3,1","2,3","1,3","1,3","1,3","1,3"
Benin,"9,6","0,8","4,1","-6,1","10,3","1,2","0,4","-1,3","3,4","-0,2","1,1","2,1","5,9","0,4","38,5","14,5","4,9","3,8","5,8","0,3",4,"3,8","2,7","1,8","1,3","4,7","5,2","1,3","6,8","0,7","2,3","2,8",7,1,"-1,1","0,2","-0,8","1,8","0,8","-0,9",3,"1,7","1,4","2,8",3,2,2,2,2,2
Bhutan,"12,5",5,"9,9","12,1",13,8,"5,2",7,"8,2","8,9","9,4","10,3","8,1","9,6","9,5","7,1","8,8","8,6","7,6","9,1","7,2","3,7","2,9","2,5","3,3","4,8","4,9","5,2","6,3","7,1","4,8","8,6","10,1","8,1","9,6","6,7","3,3","4,3","3,7","2,8",3,"8,2","5,9","4,6","4,9","4,6","4,1",4,4,4
Bolivia,"47,1","32,1","123,6","275,6","1281,3","11749,6","273,3","14,6",16,"15,2","17,1","21,4",13,"8,5","7,9","10,2","12,4","4,7","7,7","2,2","4,6","1,6","0,9","3,3","4,4","5,4","4,3","6,7",14,"3,3","2,5","9,9","4,5","5,7","5,8","4,1","3,6","2,8","2,3","1,8","0,9","0,7","1,7","2,6","4,5","4,2","3,9","3,8","3,8","3,8"
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"12,9","-11,7","5,7","-0,3","2,8",5,"3,2","0,3","0,5","0,3","3,6","6,1","1,5","7,4","-0,4","2,1",4,"2,1","-0,1","-0,9",-1,"-1,6","0,8","1,4","0,6","-1,1",2,14,"6,1",3,"2,7","2,5",2,2,2
Botswana,"12,1","16,3","11,2","10,5","8,6","8,1",10,"9,8","8,4","11,6","11,4","12,6","16,5","14,4","10,6","10,5","10,1","8,9","6,5","7,8","8,5","6,6",8,"9,2",7,"8,6","11,6","7,1","12,6","8,1","6,9","8,5","7,5","5,9","4,4","3,1","2,8","3,3","3,2","2,7","1,9","6,7","12,2","5,1",4,"4,5","4,5","4,5","4,5","4,5"
Brazil,"90,2","101,7","100,6",135,"192,1",226,"147,1","228,3","629,1","1430,7","2947,7","432,8",952,"1927,4","2075,8",66,"15,8","6,9","3,2","4,9",7,"6,8","8,4","14,7","6,6","6,9","4,2","3,6","5,7","4,9",5,"6,6","5,4","6,2","6,3",9,"8,7","3,4","3,7","3,7","3,2","8,3","9,3","4,6","4,1",3,"3,1",3,3,3
Brunei Darussalam,no data,no data,0,"1,2","3,1","2,1","1,8","1,2","1,2","1,3","2,1","1,6","1,3","4,3","2,5",6,2,"1,7","-0,4","-0,4","1,6","0,6","-2,3","0,3","0,8","1,2","0,2",1,"2,1",1,"0,4","0,1","0,1","0,4","-0,2","-0,5","-0,3","-1,3",1,"-0,4","1,9","1,7","3,7","0,4","1,3",1,1,1,1,1
Bulgaria,0,0,"2,8","2,8","2,8","2,8","2,7","2,7","2,5","6,4","23,9","333,5",82,"72,8",96,"62,1",123,"1061,2","18,7","2,6","10,3","7,4","5,8","2,3","6,1",6,"7,4","7,6",12,"2,5",3,"3,4","2,4","0,4","-1,6","-1,1","-1,3","1,2","2,6","2,5","1,2","2,8",13,"8,6","3,4","2,7","2,2",2,2,2
Burkina Faso,"12,3","7,6","12,1","8,3","4,8","7,1","-2,7","-2,9","4,2","-0,3","-0,8","2,5",-2,"0,6","24,7","7,8","6,1","2,9","4,9","-1,1","-0,2","4,7","2,3",2,"-0,4","6,4","2,3","-0,2","10,7","0,9","-0,6","2,8","3,8","0,5","-0,3","1,7","0,4","1,5",2,"-3,2","1,9","3,9","13,8","0,9","2,1",2,2,2,2,2
Burundi,"1,2","12,2","5,9","8,2","14,3","3,8","1,7","7,1","4,5","11,7",7,9,"1,8","9,7","14,9","19,2","26,5","31,1","12,5","3,5","25,5","7,9","-1,3","10,6","8,2","13,3","2,7","8,4","24,4","10,6","6,5","9,6","18,2","7,9","4,4","5,6","5,5","16,6","-2,8","-0,7","7,3","8,3","18,9",27,22,20,16,10,10,10
Cabo Verde,"15,1","20,7","21,1","20,2","9,7","5,9","11,1","3,7","3,6","4,7","11,1","7,6","13,4","5,8","3,3","8,4",6,"8,6","4,4","4,3","-2,4","3,7","1,9","1,2","-1,9","0,4","4,8","4,4","6,8",1,"2,1","4,5","2,5","1,5","-0,2","0,1","-1,4","0,8","1,3","1,1","0,6","1,9","7,9","3,1",2,2,2,2,2,2
Cambodia,no data,no data,no data,no data,no data,no data,no data,"-31,2",23,"63,8","141,8",191,75,"114,3","10,4","10,1","7,1","10,5","12,9",2,"-0,8","-0,1",0,1,"3,9","6,3","6,1","7,7",25,"-0,7",4,"5,5","2,9","2,9","3,9","1,2",3,"2,9","2,5","1,9","2,9","2,9","5,3","2,1","2,3",3,3,3,3,3
Cameroon,"7,7","7,5","15,3","20,5","12,1","4,2","4,3","2,8","1,7","1,6","1,5","-0,6","1,9","-3,7","14,9","25,8","3,9","4,8","3,2","1,8","1,2","4,5","2,8","0,6","0,3",2,"4,9","1,1","5,3",3,"1,3",3,"2,4","2,1","1,9","2,7","0,9","0,6","1,1","2,5","2,5","2,3","6,3","7,2","5,9","5,5","4,9","3,4","2,5","2,5"
Canada,"10,2","12,5","10,8","5,8","4,3",4,"4,2","4,4",4,5,"4,8","5,6","1,5","1,9","0,2","2,1","1,6","1,6",1,"1,7","2,7","2,5","2,3","2,8","1,9","2,2",2,"2,1","2,4","0,3","1,8","2,9","1,5","0,9","1,9","1,1","1,4","1,6","2,3","1,9","0,7","3,4","6,8","3,9","2,6","1,9","1,9","1,9","1,9",2
Central African Republic,"13,3","14,7","13,2","14,6","2,6","10,5","2,4",-7,"-3,9","0,6","-0,2","-2,8","-0,8","-2,9","24,5","19,2","3,8","1,6",-2,"-1,6","3,4","4,1","2,3","4,4","-2,6","2,9","6,9","0,9","9,2","3,6","1,5","1,2","5,9",4,"17,8","1,4","4,9","4,2","1,6","2,8","0,9","4,3","5,6","3,2","4,7","4,6","3,8","3,2",3,3
Chad,"8,6","8,1","6,4","7,9","20,3","5,1","-13,1","-2,7","14,9","-4,9","0,5","4,2","-3,8","-10,9","41,3","5,4","11,3","5,6","4,3","-8,4","3,8","12,4","5,2","-1,8","-4,8","4,4","9,6","-7,4","8,3","10,1","-2,1",2,"7,5","0,2","1,7","4,8","-1,6","-0,9",4,-1,"5,3","-1,6","6,9","2,7","3,1","3,1","3,1","3,1","3,1","3,1"
Chile,"35,1","19,7","9,9","27,3","19,9","30,7","19,5","19,9","14,7",17,26,"21,8","15,5","12,7","11,5","8,2","7,4","6,1","5,1","3,3","3,8","3,6","2,5","2,8","1,1","3,1","3,4","4,4","8,7","1,5","1,4","3,3",3,"1,8","4,7","4,3","3,8","2,2","2,3","2,2",3,"4,5","11,6","7,6","3,2",3,3,3,3,3
"China, People's Republic of",no data,"2,5",2,2,"2,7","9,3","6,5","7,3","18,8",18,"3,3","3,6","6,4","14,6","24,3","16,8","8,3","2,8","-0,8","-1,4","0,3","0,7","-0,8","1,2","3,9","1,8","1,5","4,8","5,8","-0,7","3,3","5,4","2,6","2,6",2,"1,4",2,"1,6","2,1","2,9","2,5","0,9",2,"0,2",1,2,2,2,2,2
Colombia,"25,9","27,4","24,9","19,5","16,3","23,9","18,8","23,3","28,1","25,9","29,1","30,3",27,"22,4","22,9","20,9","20,8","18,5","18,7","10,9","9,2",8,"6,3","7,1","5,9",5,"4,3","5,5",7,"4,2","2,3","3,4","3,2",2,"2,9",5,"7,5","4,3","3,2","3,5","2,5","3,5","10,2","11,7","6,4","3,6",3,3,3,3
Comoros,"13,3","6,5","15,2","9,2","6,1","8,4","-11,3","3,3","0,3","4,4","-7,4","1,7","-1,4",2,"25,3","3,2","2,4","1,5","1,2","1,1","5,9","5,6","3,6","3,7","4,5",3,"3,4","4,5","4,8","4,8","3,9","2,2","5,9","0,4",0,"0,9","0,8","0,1","1,7","3,7","0,8",0,"12,4","8,5",2,"2,2","2,1","1,9","1,9","1,9"
"Congo, Dem. Rep. of the",40,"34,9","37,1","76,7","52,6","23,5","46,7","90,4","82,7","104,1","81,3","2154,4","4129,2","1986,9","23773,1","541,8",617,199,"29,1","284,9",550,"357,3","25,3","12,8",4,"21,5","12,8","16,7",18,"46,1","23,5","14,9","0,9","0,9","1,2","0,7","3,2","35,7","29,3","4,7","11,4",9,"9,3","19,9","17,2","8,5",7,7,7,7
"Congo, Republic of ","7,3","0,8","3,5","3,5","3,5","3,5","3,5","3,5",-13,"-9,6","0,3","9,4","-3,2","-4,1","7,5","6,3","7,4","12,7","2,2",3,"0,5","0,8",3,"1,7","3,7","2,5","4,7","2,6",6,"4,3","0,4","1,8",5,"4,6","0,9","3,2","3,2","0,4","1,2","0,4","1,4",2,3,"4,5","3,6",3,3,3,3,3
Costa Rica,"18,1","36,8","90,3","32,5",12,"15,1","11,8","16,8","20,8","16,5","19,1","20,2","21,8","9,8","13,5","23,2","17,5","13,2","11,7",10,11,"11,3","9,2","9,4","12,3","13,8","11,5","9,4","13,4","7,8","5,7","4,9","4,5","5,2","4,5","0,8",0,"1,6","2,2","2,1","0,7","1,7","8,3","0,5","0,3","2,9",3,3,3,3
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"1518,5","97,5",2,"3,6","3,7","6,7",4,"4,6","4,3","2,5","2,4","2,1",3,"3,3","2,7","5,8","2,2","1,1","2,2","3,4","2,3","0,2","-0,3","-0,6","1,3","1,6","0,8",0,"2,7","10,7","8,4","3,7","2,2","2,2","2,2","2,2","2,2"
Cyprus,"13,5","10,7","6,4",5,6,5,"1,2","2,7","3,4","3,8","4,5",5,"6,5","4,9","4,7","2,6","2,6","3,3","2,3","1,1","4,9",2,"2,8",4,"1,9",2,"2,3","2,2","4,4","0,2","2,6","3,5","3,1","0,4","-0,3","-1,5","-1,2","0,7","0,8","0,5","-1,1","2,2","8,1","3,9","2,3",2,2,"1,9","1,9","1,9"
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"8,8","8,6","10,7","2,1","3,8","4,7","1,9","0,1","2,8","1,9","2,5","2,9","6,4",1,"1,5","1,9","3,3","1,4","0,3","0,3","0,7","2,5","2,1","2,8","3,2","3,8","15,1","10,7","2,1",2,2,2,2,2
CÃ´te d'Ivoire,"8,8","8,7","7,4","5,9","4,3","1,8","6,8",7,"6,9",1,"-0,7","1,6","4,2","2,1",26,"14,1","2,7","6,3","4,5","0,7","2,5","4,4","3,1","3,3","1,5","3,9","2,5","1,9","1,7","0,5","1,8","4,9","1,3","2,6","0,5","1,2","0,6","0,6","0,6","0,8","2,4","4,2","5,2","4,4","3,8",3,"2,2","1,9",2,2
Denmark,"11,3","11,7","10,1","6,8","6,3","4,7","3,7",4,"4,5","4,8","2,6","2,2","1,9","0,9","1,8",2,"2,1","1,9","1,3",2,"2,8","2,3","2,4",2,"0,9","1,7","1,8","1,7","3,6",1,"2,2","2,7","2,4","0,5","0,4","0,2",0,"1,1","0,7","0,7","0,3","1,9","8,5","3,4","1,5",2,2,2,2,2
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"6,8","3,4","4,4","6,5","4,9","3,5","2,5","2,2","-0,4","1,2","1,9","1,4","1,6","2,4","3,3","3,5","5,9","8,7","5,6","2,5","5,2","4,2","1,1","1,3","-0,5","2,4","0,6","0,1","3,3","1,8","1,2","5,2","1,8","1,8","1,9",2,2,2,2
Dominica,"23,9","13,3","4,4","4,2","2,1","2,1",3,"4,8","2,3","7,7","3,2","5,6","5,3","1,6",0,"1,3","1,7","2,4",1,"1,2","0,8","1,6","0,2","1,5","2,4","1,7","2,6","3,2","6,4",0,"2,8","1,1","1,4",0,"0,8","-0,9","0,1","0,3",1,"1,5","-0,7","1,6","7,7","3,5","2,8","2,1",2,2,2,2
Dominican Republic,"21,7","7,5","7,6","5,6","20,2","45,3","7,6","13,6","43,9","40,7","50,5","47,1","4,3","5,3","8,3","12,5","5,4","8,3","4,8","6,5","7,7","8,9","5,2","27,4","51,5","4,2","7,6","6,1","10,6","1,4","6,3","8,5","3,7","4,8",3,"0,8","1,6","3,3","3,6","1,8","3,8","8,2","8,8","4,8","4,2",4,4,4,4,4
Ecuador,13,"16,4","16,3","48,4","31,2",28,23,"29,5","58,2","75,6","48,5","48,8","54,3",45,"27,4","22,9","24,4","30,6","36,1","52,2","96,1","37,7","12,5","7,9","2,7","2,2","3,3","2,3","8,4","5,2","3,6","4,5","5,1","2,7","3,6",4,"1,7","0,4","-0,2","0,3","-0,3","0,1","3,5","2,2","1,4","1,5","1,5","1,5","1,5","1,5"
Egypt,"20,5","10,4","14,9",16,"17,1","12,1","23,9","25,2","15,2","20,1","21,2","14,7","21,1",11,9,"9,4","7,1","6,2",5,"3,7","2,8","2,4","2,3","3,4","8,2","8,7","4,3","10,9","11,7","16,2","11,7","11,1","8,7","6,9","10,1",11,"10,2","23,5","20,9","13,9","5,7","4,5","8,5","24,4","32,5","25,7","13,1","10,8",8,"6,1"
El Salvador,"17,4","14,8","11,7","13,1","11,7","22,3","31,9","24,8","19,8","17,7","28,3","14,4","11,2","18,5","10,6",10,"9,8","4,5","2,5","0,5","2,3","3,7","1,9","2,1","4,5","4,7",4,"4,6","7,3","0,5","1,2","5,1","1,7","0,8","1,1","-0,7","0,6",1,"1,1","0,1","-0,4","3,5","7,2",4,"0,9","1,7","1,8","1,8","1,8","1,8"
Equatorial Guinea,0,"16,7","38,3","60,1","59,5",84,"-17,6","-13,2","2,5","6,1","0,9","-3,4","-4,3","5,5","31,8","19,9","4,5",3,"7,9","0,4","4,8","8,7","7,6","7,3","4,2","5,6","4,5","2,8","4,7","5,7","5,3","4,8","3,4","3,2","4,3","1,7","1,4","0,7","1,3","1,2","4,8","-0,1","4,9","2,5","4,4","1,8","2,6","2,2",2,"1,5"
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"4,8","13,1",12,"10,3","3,7","9,5","8,4","19,9","14,6","16,9","22,7","25,1","12,5","7,7","9,4","22,2","33,9","10,3","5,9",6,"6,3","8,4","28,5","-5,6","-13,3","-14,4","1,3",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"47,7",29,"19,7","9,3","8,8","3,1","3,9","5,6","3,6","1,4",3,"4,1","4,4","6,7","10,6","0,2","2,7","5,1","4,2","3,2","0,5","0,1","0,8","3,7","3,4","2,3","-0,6","4,5","19,4","9,1","4,2","2,5","2,5","2,5","2,5","2,5"
